,tweet,Hate_Speech,translated_tweet
1327,yup you got it it wont be fleeing shithole countries ruled by evil people nope it'll be trump is evil trump w ,1,yup Anda mendapatkannya melarikan negara -negara shithole diperintah orang jahat truf jahat truf w
1328,it'd be a flamboyant leftist too if my only concern in life was to look cool for a bunch of retarded friends,0,kiri flamboyan -satunya perhatian hidup keren sekelompok teman terbelakang
1329,['helium be a retard'],0,helium retard
1330,up opinion is not relevant if u say thing thong,0,Opini relevan Anda thong
1331,shush nigger,1,Shush Nigger
1332,alright fine i argue the way you arguing hey listen shitfaced you a retard who does know,1,baiklah berdebat Anda berdebat hei dengarkan sial Anda retard
1333,see the retard with a beehive the size of an apartment,1,lihat retard sarang lebah seukuran apartemen
1334,thoughts about alley baby boy he cool better than me a guitar per a vocals hide mongoloid soya h,1,Pikiran bayi laki -laki keren dariku gitar vokal menyembunyikan soya mongoloid h
1335,those inbreed mongoloid americanized unamerican brazil military police and government are good shots you got to be ,0,Mongoloid Inbreed Mongoloid Amerikanisasi Polisi Militer Pemerintah Brazil Unggin Amerika Tembakan Baik Anda
1336,if y still used describe something ridiculous or stupid i just want you to know that you deserve,0,Jika Anda menggambarkan konyol bodoh Anda Anda mendapatkannya
1337,nice projection faggot,0,Proyeksi bagus homo
1338,yo waitress tells me story of her arrest for assaulting dope on bus who insisted on using word faggot is,1,pelayan yo bercerita penangkapannya menyerang obat bius bus bersikeras fagot
1339,here i am again building my walls again this time it'll make it concrete a para deli a bastard maudlin of ma mongol,1,Di membangun dinding kali menjadikannya konkret paragraf deli bajingan maudlin ma mongol
1340,they never get called spic wetback bearer et they never get pulled over and have the officer be racist,0,Mereka spic wetback bearer et menepi petugas rasis
1341,boy of that was kb faggot ass,1,anak laki -laki kb fagot ass
1342,it's okay to be white and celebrate australia day auspex,0,Tidak -apa putih merayakan Australia Auspex
1343,['born helen newington wills and cunt'],0,Born Helen Newington Wills Cunts
1344,but seriously locking up refugees in offshore detention centers for years is barbaric and everyone involved should suffer the same cruelty,1,Tapi serius mengunci pengungsi pusat penahanan lepas pantai bertahun -tahun biadab orang terlibat menderita kekejaman
1345,man shes retarded u tell her go outside she walks inside,1,Pria terbelakang memberitahunya pergi berjalan
1346,your gonna put your hand in my ass faggot,1,Anda meletakkan tangan Anda pantat homo
1347,drop too hard might be the next negro spiritual if it last through new years eve,0,Jatuhkan keras spiritual negro malam
1348,i got banned for calling a terf a retard but apparently this is okay,1,Saya dilarang menyebut terf retard -apa
1349,humor of a female and or retard same same i get you tho,0,humor wanita retard Anda
1350,good thing donate trump never vilifies democrats as a group or museums or pelicans or residents countries,0,Untung Donasi Trump vilifies Demokrat kelompok museum pelikan negara penduduk
1351, twt2018 lgbtq people seeking asylum in uk were told “go back to your countrypretend” ,1,TWT2018 LGBTQ Orang -orang mencari suaka Inggris diberitahu Kembali Negara Anda
1352,['atomic number 58 migrants qui veulent s ’ investir teem l ’ europe'],0,Atom Number 58 Migran berinvestasi Eropa
1353,if your tweeting asking what time is it you are an awful cunt jussayin,1,Jika tweeting Anda jam Anda cunt jussayin mengerikan
1354,['me when one be in the tertiary ground level gift show performingand a kid yelledurl'],0,Me When One acara Hadiah Tingkat Tingkat Tersier Performing A Kid Yelledurl
1355,if you go back to your country and only stay in hotels is that really your country,0,Jika Anda negara Anda tinggal hotel -benar negara Anda
1356,not to be that person but no one should say it it as awful as wetback or spic ugh,1,orang mengerikannya wetback spic ugh
1357,i spawned in dumbest you retarded,1,Saya melahirkan bodoh Anda terbelakang
1358,you a spick fucking wetback,1,Anda wetback sialan
1359,    any mongoloid with a drill press can make an auto searnnthe ,1,Setiap mongoloid mesin bor searnanya otomatis
1360,hi i mike gunny and i a little twat with a mullet that has won shit,1,hai mike gunny twat belanak menang omong kosong
1361,of spic,0,spic
1362,['kavanaugh family has 247 hole and corner service protection dr fording have got no security had to f …'],0,Kavanaugh Family memiliki 247 Hole and Corner Service Protection Dr Fording keamanan ...
1363,negro if that ain't bars ink what is,1,negro tinta
1364,to all retarded political goonsplease do some research before doing fake propaganda people rejects you desperat ,1,Untuk goonsplease politik terbelakang lakukan riset propaganda palsu orang -orang menolak Anda putus asa
1365, scarlett johansson walked up to me called me a faggot and walked away then she called my personal cell ,1,Scarlett Johansson berjalan arahku memanggilku homo berjalan pergi menelepon sel pribadiku
1366,"[""west pakistan ' s post mortem imrankhan have promise citizenship to refugees from afghanistan and bangladesh born on pakistani …""]",0,Pos Mortem Pakistan Barat Imrankhan menjanjikan kewarganegaraan pengungsi Afghanistan Bangladesh lahir Pakistan ...
1367,this is awful but this man is a faggot himself how is he a homophobe,1,mengerikan pria homo homofob
1368,some retard just sat next to me and started playing mine's new album,1,Some Retard duduk sampingku memainkan album milikku
1369,fuck that game it's gay and retarded,1,Persetan permainan gay terbelakang
1370,i don't know thing thong so much thou,1,Aku -apa
1371,illegal aliens you mean undocumented immigrants righton kweenannalise htgawm,1,alien ilegal Anda maksud imigran berdokumen kanan Annalise htgawm
1372,   maybe they should stay in their shithole countries and stand up to the mess their politicians built,1,Mungkin tinggal negara -negara shithole menghadapi kekacauan dibangun politisi
1373,what have i ever said that denies that you a fucking retard dude go ahead and kill someone for i,1,Apa menyangkal Anda pria retard silakan membunuh
1374,what a soulless fucking twat,1,Sungguh twat berjiwa
1375,my son is such a little faggot fuck you even i hate changing your disgusting diapers,1,anak homo bercinta Anda benci mengganti popok Anda menjijikkan
1376,['there is a difference between refugees and migratory proletarian the latter riposte base after to'],0,Ada perbedaan pengungsi proletar migrasi .
1377, hahahahahaha wake up miggs ya fucking retard,1,hahahahahaha bangun miggs ya sialan retard
1378, western civilization is so friendly we just accept it if the west tried to go to these shithole countries we would be genocided,1,Peradaban Barat ramah menerimanya Barat mencoba pergi negara -negara shithole -genosisi
1379,join us on our global journey of walking 1 million kilometers side by side with migrants and refugees,0,Bergabunglah perjalanan global berjalan 1 juta kilometer berdampingan migran pengungsi
1380,because thieving twat stole my phone and i using a phone that i had about 10 years ago and i can't,1,Karena pencuri twat mencuri ponsel telepon miliki 10
1381,people actually voted for this twat,1,orang -benar memilih twat
1382,well say faggot already then,0,Nah fagot
1383,  that mongoloid is a scammer what's he doing now lmfao,1,Mongoloid scammer lakukan lmfao
1384,this money commentator is still bitter about pontes mansions last minute winner 2 year ago,1,Komentator Uang Ini Masih Pahit Tentang Pontes Mansions Pemenang Menit Terakhir 2 Tahun Lalu
1385,['i buy on a regular basis but thither are alternatives for all of tonne'],0,Saya membeli teratur alternatif ton
1386,i spit on your dyke ass don get beat up bitch,1,Saya meludahi pantat gundukan Anda Don Get Upus Bitch
1387,ya should be meeting nonce then ya money,1,ya bertemu nonce ya uang
1388,oh no y better tell on his faggot ass,1,oh ceritakan homo -nya
1389,jay inside is a reptile faggot,1,Jay Inside fagot reptil
1390,to shithole or not to shithole other's countries is that the question too ,1,menyamak menyatukan negara orang pertanyaannya
1391,i get to see my retard tonight,0,Saya retard malam
1392,clocksback is a cunt for those with insomniadon poke the bear today ,1,clocksback vagina menderita insomniadon poke beruang
1393,they want a bit of belly up until y argue and they end up calling you a fat cunt,1,Mereka perut Anda berdebat memanggil Anda vagina gemuk
1394,jess goddamn whore christy jess goddamn cunt christy jess goddamn whore christy jess goddamn cunt christy jess,1,jess goddamn whore christy jess goddamn cunty christy jess sialan whore christy jess goddamn cunty christy jess
1395,retard,1,memperlambat
1396,the most disruptive thing about bitcoin is retarded shit on bitcointalk,1,mengganggu bitcoin omong kosong terbelakang bitcointalk
1397,i vote we bring back the word retard,0,Saya memilih mengembalikan retard
1398,blame reason for this he got rid of the retard bins so now we have gab,0,Salahkan alasan menyingkirkan retard gab
1399,when i see a faggot i floor it,1,Saat homo lantai
1400,its crazy how half us it's babies got old souls and the other half retarded a,0,gila betapa setengahnya bayi jiwa tua setengahnya terbelakang a
1401,and i was almost going to not have  on today via sling another day in the life in this shithole country pgh,1,Dan memiliki sling kehidupan negara shithole PGH
1402,celebrating curry is not gonna let you smash you gay mongoloid fuck,1,Celebrating Curry membiarkan Anda menghancurkan Anda gay mongoloid fuck
1403,sabarimala dialogues amp debates on female menstruation is shocking to us the mongoloid people how can a person thi ,0,Dialog Sabarimala Debat AMP menstruasi wanita mengejutkan orang -orang Mongoloid Bagaimana thi
1404,the delete feature was retarded anyways why would someone delete something they payed for like if y,1,Fitur Delete terbelakang menghapus bayar y
1405,and white areas though reminds me of the trump countries stuff,0,daerah putih -hal negara Trump
1406,hey you know what's the difference between you and a fucking faggot the faggot isn't as gay as you,0,hai bedanya homo sialan homo gay
1407,fucking dumbest mongoloid calls me an asshole under his breath because he does wanna pay tax for a bag no k p a l,1,sialan mongoloid bodoh memanggilku brengsek napas membayar pajak tas no k p a l
1408,['rats fetch disease and must be extirpate'],0,Tikus mengambil penyakit diperasingkan
1409,check we is such a nigger,1,Periksa negro
1410,fucking ahead cunts,1,Sialan vagina
1411,i think train should do comedy negro really funny a brush,1,Saya pikir kereta komedi negro -benar lucu
1412,everyone point and laugh at this retard,0,Semua orang menertawakan
1413,you got nothing ahead,0,Anda -apa
1414,u r ugly and retarded u stupid piece of shit flaming faggot kill up self,1,jelek terbelakang sepotong bodoh kotoran menyala bunuh
1415,bitches say they crazy but they really be retarded,1,Pelacur gila -benar terbelakang
1416,my therapist just told me lol ur so gay kill urself faggotbut im not gonna listen to my haterz ihaterz,0,Terapis lol Anda gay bunuh Anda faggot mendengarkan haterz ihaterz
1417, matt your dad is a judgeyou are privileged you twat,1,Matt ayahmu juri membuatmu twat
1418,low iq is he a spicnnavg iq is this false flagnnhigh iq why did he paint hair on his head ,1,IQ rendah spicnnavg iq flagnnhigh iq palsu melukis rambut kepalanya
1419,gentle reminder the atrocities in other nation states are theirs to fix and you don't have to accept refugees into yours,0,Pengingat lembut kekejaman negara -negara negara milik diperbaiki Anda menerima pengungsi Anda
1420,my dad thing chon long long thing thong thong,1,Ayah Thong Thong Thong
1421,how am i retard,0,Bagaimana memperlambat
1422,yeah what a faggot,1,ya homo
1423,  lmfaoooooooooooooooooo u link then i'll send u retard it will be my same partner retard,1,LMFAOOOOOOOOOOOOOOOO u tautan mengirimkan Anda retard mitra Retard
1424,i hate when people ask me to socialize like why are u so fucking rude have i ever asked you to stop breathing you faggot piece of shit,1,Aku benci orang -orang memintaku bersosialisasi kasar berhenti bernapas fagot sepotong kotoran
1425,dear thing thong long long's how do you expect me to react when you go because you rich man,1,Dear Thing Thong Longs Bagaimana Anda Mengharapkan Saya Bereaksi Saat Anda Pergi Karena Anda Rich Man
1426,me at 16 i might be ggay but i don like using labels we people not clothesnme now yeah i a fucking faggot,0,usia 16 ggay suka label orang pakaian ya homo sialan
1427,have him blocked hes an absolute mongoloid,1,Mintalah memblokirnya mongoloid mutlak
1428,french german and punish ads are annoying but this tops it all to twitter i don't speak no thing thong,0,Perancis Jerman menghukum iklan menjengkelkan menduduki puncaknya Twitter berbicara
1429,being on adderall was cool because i could be retarded more efficiently,0,Adderall keren terbelakang efisien
1430, sure except for directly quoting trumpcountries,0,Tentu kecuali langsung mengutip TrumpCountries
1431,have robots literally lost the game with his retarded bullpen moves,0,memiliki robot -benar kehilangan permainan gerakan bullpen terbelakangnya
1432,this faggot needs to get knocked out,1,homo tersingkir
1433,what the fuck does spic mean and how is it offensive,0,Apa arti spic spic menyinggung
1434,  lmao he deleted all his other tweets that wasrelated amprelated,0,lmao menghapus tweetnya dikelilingi
1435,what a fucking faggot,1,Sungguh homo
1436,if you ain know i been retarded way before i met all,0,Jika Anda terbelakang bertemu
1437,are you free whyanother retarded question ,1,Anda retarded whyshere gratis
1438,will you be explaining why you defend illegal aliens over citizens,0,Apakah Anda Anda membela alien ilegal warga negara
1439,i get that you encouraging folks but you know you can give your shithole scholarship back to your shithole country ,0,Saya mengerti Anda mendorong orang -orang Anda Anda mengembalikan beasiswa shithole Anda negara shithole Anda
1440,he ratted only thing worse then a faggot,0,mengacaukan buruk homo
1441, its rather clear i thinknnhe'd rather that chinaman would have had a different reason,1,pikir Chinaman memiliki alasan berbeda
1442,chapter 9 discusses how president obama signedlaw which changes mental retardation into intellectual dis ,0,Bab 9 membahas Presiden Obama menandatangani hukum mengubah keterbelakangan mental intelektual dis
1443,don be like the  passengers i had tonight that kept saying faggotfagqueers over and over even after i aske ,0,Don penumpang miliki malam faggotfagqueers berulang kali Aske
1444,['ism twenty six retard'],0,ism Twenty Six Retard
1445,['genie weenie mine to catch a nigger by the toe if atomic number 2 hollers make him yield twenty dollar every day'],0,Genie Weenie Mine menangkap negro kaki atom nomor 2 berteriak membuatnya menghasilkan puluh dolar
1446,good,0,Bagus
1447,msnbc you are fuckin retardedevery states man and woman discards the umbrella that way are you really that fuc ,1,msnbc -benar retardedevery pria wanita membuang payung -benar fuc
1448,i just cannot understand why us let that dangerous leftist sorts just sit there when everyone knows he is behind,0,Saya mengerti membiarkan jenis kiri berbahaya duduk orang
1449,people living in shithole countries shouldn throw stones treeoflifesynagogue ,1,Orang tinggal negara -negara shithole melempar batu Sinagog Tree of Life
1450,keep in my mind ism a negro so my open mind come with ah screen door,1,Tetap pikiran negro pikiran terbuka pintu layar ah
1451,some of these countries where refugees come from send here spies disguised as refugees to gather intelligence or kid,0,Beberapa negara pengungsi berasal Send Here Spies disamarkan pengungsi mengumpulkan intelijen anak
1452,i try so freaking hard to get to know the people that hang out in my stream and actually care and this shit twat t,0,Saya berusaha keras mengenal orang -orang nongkrong aliran -benar peduli twat t
1453,is it me or do people go instant retard when told firmly to leave,0,orang -orang retard instan disuruh pergi
1454,  you not getting it it the fact thatshouldn be used as an insult because i ,0,Anda mengerti fakta penghinaan
1455,fucking retard,1,Retard sialan
1456,that one time i got called a ahead in leister 2,0,Suatu kali dipanggil leister 2
1457,just tucker you mongoloid,1,Just tucker mongoloid
1458, that is the definition of a shithole country,1,Itulah definisi negara shithole
1459,my homie glory just pulled up on me my place finny be spic amp span folded drawers and all hate cleaning,0,Kemuliaan homie menarik finny be spic amp rentang laci lipat benci membersihkan
1460,the only men the democrats see as having rights are themselves and illegal aliens ms terrorists et,1,Satu -satunya pria Demokrat memiliki hak alien ilegal MS teroris et
1461,have binned tinder off fed up of money women matching then loosing their voices,1,Binned Tinder Off Fed Up of Money Women cocok kehilangan suara
1462,ism sick of seeing your face on my news feed you cunt,1,ism muak wajah Anda berita makan Anda vagina
1463,they gonna tell you spic,1,Mereka memberitahumu spic
1464,"[""you ' re a fairy make add and sound same you ' re homophile eve me playground""]",0,Anda peri terdengar Anda re homophile eve me playground
1465,man hater feminacy,1,Feminasi Pembenci Manusia
1466,what no roofe pen eithernnfuck off cuntnnwe did more than enough to win that game fact we're takin ,1,atap pena cuntnnwe memenangkan fakta permainan takin
1467,okkkkkkk so i completely forgot dick van dyke was in night at the museum ,0,Okkkkkkk -benar lupa Dick Van Dyke malam museum
1468,['just wonder at times are pal retarded or scarce slow up'],0,Hanyalah heran kadang -kadang sobat terbelakang langka melambat
1469,this is him on my warm while i try to work,0,hangatku mencoba
1470,['ohio this older cunt'],0,Ohio vagina tua
1471,hah that's retarded here's another definition for you,1,hah terbelakang definisi Anda
1472,some canadians believe that refugees are treated better than pensioners that is not the case as  shows… ,0,Beberapa orang Kanada percaya pengungsi diperlakukan pensiunan ...
1473,['love yourself you cute small goof'],0,Love Yourself You Cute Small Goof
1474,['you a faggot corresponding your girl lot'],0,Anda homo sesuai gadis Anda
1475,fun fact i got called a chink and aching changed at until the with grade and i barely look avian so that is how white my town was,1,Fakta menyenangkan dipanggil celah sakit berubah nilai unggas putih kota
1476,another soup taker,0,pengambil sup
1477,  and for the record no muslims or other immigrants from shithole countries or otherwise w ,1,catatan Muslim imigran negara -negara shithole
1478,fuck that only the feminazi’s are “outraged” bring them on i say ,1,Persetan feminazi marah membawa
1479, boys will be boysuntil their feminazi mother’s beat the toxic masculinity out of them,1,Anak laki -laki anak perempuan feminazi mengalahkan maskulinitas beracun
1480,similarly white supremacists saying it's okay to be white aren't making an innocent statement about white people,1,Demikian supremasi kulit putih -apa putih pernyataan bersalah orang kulit putih
1481,its fans being a mongoloid,0,penggemarnya mongoloid
1482,i am not faggot don't forget,1,Saya homo lupa
1483, omgi'm a feminist feminazi because i'm a man and comfortable in ma man body,0,Omgi femina feminis pria nyaman tubuh manusia
1484,but i actually called you a dirty new,1,Tapi -benar menyebut Anda kotor
1485,someone plus tell me why a 12 year old called me a thing thong bitch today when i looked at him funny for wearing a grill i hate so so much,0,plus anak berusia 12 memanggil jalang menatapnya lucu memakai panggangan benci
1486,if a dirty new has been in a house i own sell it,1,Jika rumah menjualnya
1487,epic tweet,0,Tweet epik
1488,i actually a twat,0,Saya twat
1489,i drunk i not retarded,0,Saya mabuk terbelakang
1490,if the caravan of 7000 people from thecountries of south america are refugees why are they waving the ,1,Jika karavan 7000 orang negara -negara Amerika Selatan pengungsi melambaikan tangan
1491,pakistan's pm imrankhan has promised citizenship to refugees from afghanistan and bangladesh born on pakistani… ,0,PM Pakistan Imrankhan menjanjikan kewarganegaraan pengungsi Afghanistan Bangladesh lahir Pakistan…
1492,shut up negro,1,Diam Negro
1493,qt nung section chant namin huhuthe beningging assert your dominance ching chong 100 boundaries,1,qt nung nyanyian namin huhuthe beningging dominasi Anda ching chong 100 batas
1494,this night a really tell me he thought i was a dyke from my twitter profile,1,Malam -benar pikir tanggul profil twitter
1495,should have known it would be long until some soft cunt would be offended by this,0,Seharusnya vagina lunak tersinggung
1496,i wonder if i ever stop being such a money cunt,1,Saya berhenti vagina uang
1497,you can build a movement on the idea it ok to hate muslims mexicans and people from shithole countries that suc ,1,Anda membangun gerakan berdasarkan gagasan -apa membenci Muslim Meksiko orang -orang negara -negara shithole sukses
1498,['lmfao he don like the clotheshorse from yttrium networkthat adult male retarded'],0,lmfao menyukai clotheshorse yttrium networkthat dewasa pria terbelakang
1499,suspicion is upstairs old chainman neighbor feigning mental illness since 3 years ago slamming his g,1,Kecurigaan tetangga tua lantai berpura -pura penyakit mental 3 membanting G -nya
1500,i was suspicious of the bombs because it only would make sense if it was a false flag o,0,Saya curiga bom masuk akal bendera palsu
1501,let face it most footie fans who know of  knows he a cunt who often speaks for a reactionnnhoweve ,0,Biarkan menghadapinya penggemar sepak bola vagina berbicara reaksi
1502,['my pa got name a spic at the gearing and i ready to fight the coloniser that said that'],0,PA nama spic gearing melawan penjajah
1503,who retarded ass do i have to kick,1,terbelakang menendang
1504,ice arrested undocumented immigrants who came forward to take in undocumented children,1,Ice ditangkap imigran berdokumen maju mengambil anak -anak berdokumen
1505,['it is indianarmy and not hinduforcesif hindus receive force kashmiripandit wouldn ’ t have been refugees amp …'],0,Ini Indianarmy orang Hinduforces orang Hindu menerima kekuatan Kashmiripandit pengungsi amp ...
1506,i hate spic bearer,0,Saya benci spic bearer
1507,pro that expected i sparred this mf and his pace is retarded,0,Pro mengharapkan berdebat MF langkahnya terbelakang
1508,this faggot looks like a walking his,0,homo berjalan miliknya
1509,you bring disease you will be excised it is of great sorrow you must be destroyed,0,Anda membawa penyakit Anda dieksisi kesedihan Anda dihancurkan
1510,steve is such a little cunt thehauntingofhillhouse,1,Steve vagina thehauntingofhillhouse
1511,['i represent very walk around tailgate today high as pterodactyl twat'],0,Saya mewakili berjalan bak truk pterodactyl twat
1512,who the retard at epic who thought monsters was a good idea,1,retard epik monster ide bagus
1513,don be a faggot primo,0,don fagot primo
1514,fuck off nigger,1,Persetan Nigger
1515,queue is fucking retarded it makes everyone feel like they don't even have a chance make it focus again for muckrake,1,Antrian -benar terbelakang orang memiliki kesempatan membuatnya fokus muckrake
1516,friends is retarded on this particular episode,0,Teman terbelakang episode khusus
1517,ah soothe black chainman we everywhere,1,Ah menenangkan Black Chainman -mana
1518,fuck morons and their polygamist con artist worshipper retard asses ironically muslin tier,1,Persetan orang bodoh penyembah penipu poligami memperlambat keledai ironisnya muslin tingkat
1519,i was just watching a shitty tiptoe about that retarded overmatch song and i wanna die after watching it bra,0,Saya menonton berjinjit lagu terbelakang mati menontonnya bra
1520,while they bring disease and ruin your walls and eat your foods without giving a shit about you fuck if i care,0,Sementara membawa penyakit merusak dinding Anda memakan makanan Anda peduli Anda peduli
1521,['and this is wherefore the rural area cost turn in to a shithole we desperately need political change'],0,Dan biaya daerah pedesaan masuk shithole membutuhkan perubahan politik
1522,['good intellection law enforcement the spic astir in the gonna accord can corrode my red cent say one logos mind game are fun constitute the'],0,Penegakan Hukum Inteleksi Baik Kehagaan Pedas Honda Accord merusak Cent Merah game Mind Logos kesenangan
1523,omg tea using these terms can hurt and offend and if you used any of these sorry and idc but you retardedurl,0,Teh omg istilah -istilah menyakitkan menyinggung Anda salah maaf IDC Anda retardedurl
1524,you a faggot cunt,1,Anda vagina homo
1525,unreal crawling into bed after a 13 hour nightshirt and then next doors yappy little cunt off a dog wakes up,0,Unreal merangkak tidur baju tidur 13 jam pintu yappy seekor anjing bangun
1526,do it you twat and make sure to add some beans you degenerate,1,Lakukan twat Anda pastikan kacang Anda degenerasi
1527,22 like no you fucking twat ism doing damage so i can heal you because i ran out of biotic energy because go,1,22 Like no you fucking twat isme kerusakan menyembuhkan Anda kehabisan energi biotik pergi
1528, not that i think you a twaturl,1,Bukannya pikir Anda twaturl
1529,looks like you got the retarded horse from family guy,0,Sepertinya Anda kuda terbelakang Family Guy
1530,don't take the allegations seriously that's feminacy brainwashing see it for what it is context is everything,1,Jangan menganggap serius tuduhan feminasi otak konteksnya
1531,['speechless roll in the hay leave out the facts that the mongoloid race came to north america before them by thousands of geezerhood a b'],0,Gulungan Tanpa Kata Hay meninggalkan fakta ras mongoloid Amerika Utara ribuan Gezerhood a B
1532,signs have thing thong eyes,1,Tanda memiliki benda thong mata
1533,"[""my nigger lion meat i like you god forward ever backward ward ne'er man me say""]",0,
1534,nah i a retard ad,1,i a retard iklan
1535,swedes am i will continue to pursue the issue of compelling countries to accept a quota of refugees coming to but,0,Swedia mengejar negara -negara menarik menerima kuota pengungsi
1536,desh wasionsonia gandhi ne aapke 1 lakh karod anil ji ko de diyennsounds retarded right u pidi's that's how ur b ,0,Penduduk negara Vasisonia Gandhi 1 lakh crore anil ji ko de dehensound retarded rehetted
1537, secret instagram that's not your main where if your're a white girl you can say nigger and if you'… ,1,Instagram rahasia utama Anda Anda gadis kulit putih Anda negro Anda …
1538,this man weepy said keep in mind ism a negro so my open mind got a screen door,0,Orang menangis ingatlah negro pikiran terbuka pintu kasa
1539,['an money johnny come up latterly no doubt i remember hold out there in 2010 when they had about 3400 home fan'],0,A Money Johnny diragukan bertahan 2010 memiliki 3400 penggemar rumah
1540, i read somewhere in a leftist mag that terrorist events like breivik massacre precede cultural sh ,0,Saya membaca mag kiri acara teroris pembantaian breivik mendahului budaya
1541,i feel like this one mutual would call me a spic behind my back,0,Saya Mutual memanggil spic
1542,i did give a guy enough ketchup packets today at work and he called me a wetback spic,0,Saya pria paket kecap kerja memanggil spic wetback
1543,i suppose it is since the oligarchy already made america a shithole the only thing left for them to contemplate is ,0,Saya oligarki Amerika -satunya tersisa direnungkan
1544,this twat better not change her mindnnand stay the fuck away ,1,twat mengubah pikirannya pergi
1545,this picture just called me ching chong and asked if i eat dogs lmfaoo ,1,gambar memanggil ching chong makan anjing lmfaoo
1546,['plateado con azulnegro etc'],0,Perak bluenegro dll
1547,macron can't you see your own country's sinking into a shithole your trying to be merkel no cunts interested in you ,0,Macron Tidak Anda negara Anda tenggelam kusut Anda mencoba Merkel cunt tertarik Anda
1548,this is a chance to defeat the vile leftie pussy hat feminacy mandating bitter bitches brigade god help us if the,1,Ini kesempatan mengalahkan topi vagina leftie vile feminasi mengamanatkan brigade bitches bitches dewa membantu
1549,i hear canada is nice and they like immigrants just saying,1,Saya mendengar Kanada bagus suka imigran
1550,don't b retard see his body language he is in gesture of respect,1,ratard bahasa tubuhnya isyarat hormat
1551,['you have me in the thread you twatnnyou literally said information technology'],0,Anda memiliki utas Anda twatnnyou -benar teknologi informasi
1552,typical liberals but they are the party of tolerance and women and blacks and illegal aliens and whatever,1,Khas Liberal partai toleransi wanita orang kulit hitam alien ilegal
1553,wait a second this isn't thing thong,1,Tunggu sebentar Thong
1554,governor brown vetoed senator ritard lava's bill so 174 that would have allowed illegal aliens to serve,0,Gubernur Brown memveto RUU Senator Riterd Lava 174 alien ilegal melayani
1555,a group of high school boys just drove past but slowed down for the front passenger to yell thing thong at me we,1,Sekelompok anak laki -laki sekolah menengah melewati melambat penumpang berteriak lakukan
1556,['lmfao he wear like the dude from atomic number 39 networkthat man retarded'],0,lmfao pakai pria nomor atom 39 jaringan terbelakang
1557,highkey the reason i want to leave this shithole country is that with my current political awareness and the curren ,0,Highkey Alasan meninggalkan negara shithole kesadaran politik Curren
1558,sturdy night spent in bed on my own us every cunt on earth is out but unreal stuff,1,Malam kokoh dihabiskan tidur vagina bumi barang nyata
1559,my goal today is to get this house spic n span,0,Tujuan spic n rentang rumah
1560,shameless hey you fucked retard you seriously don remember what happened last season you pathetic fuck name,1,Shameless Hei kau kacau serius musim nama bercinta menyedihkan
1561,i swear whenever i go to my class at candy and see other black people they're thinking what is this nigger doing here,1,Saya bersumpah kali pergi kelas Candy orang kulit hitam pikirkan negro
1562,['nut quoi parler de nombre de migrants devient une statistique ethnique on …'],0,Nut Apa dibicarakan migran statistik etnis ...
1563,once i get comfortable around you your gonna think my ass is retarded,1,Setelah nyaman Anda Anda berpikir pantat terbelakang
1564,if your of is retarded guess what u r 2,0,Jika Anda terbelakang tebak Anda r 2
1565,['1 suppose it be since the oligarchy already made america a shithole the only thing go forth for them to contemplate is'],0,1 Misalkan oligarki Amerika -satunya merenungkan
1566,when and where has that rat apologized for calling normal a nigger,0,Kapan tikus maaf menyebut normal negro
1567,i have retard strength,0,Saya memiliki kekuatan retard
1568,amp its retarded because it definitely want,0,amp terbelakang
1569,dick van dyke yes just a thought i had,1,Dick Van Dyke Ya Hanya pemikiran miliki
1570,you a faggot,1,Anda homo
1571,['the issue of refugees must represent resolved 7 geezerhood ago by room of wise policies in countries such as lib'],0,Masalah pengungsi mewakili 7 kebijakan kamar bijak negara -negara lib
1572,that was fast this ago i replied to a tweet saying his negro moment was about to arrive man,1,Itu cepat membalas tweet momen negro -nya
1573,fuck off hear me you're not brave enough to say it to my face so stop hiding behind your phone we all know what a faggot you are,1,Persetan dengar kau berani wajahku berhentilah bersembunyi ponselmu betapa homo itumu
1574,unless you a muslim a mexican or from a shithole countrynntrumpian hypocrisy is unparalleled and knows no bou ,1,Kecuali Anda Muslim Meksiko kemunafikan countrynntrumpian shithole tertandingi mengenal bou
1575,['in fact wire sir henry wood young and now self refugee'],0,Sebenarnya kawat Sir Henry Wood Young pengungsi
1576,yea i see probably not posting that thing on twitter again,0,ya memposting benda twitter
1577, hell i'd take it if we'd agree that illegal aliens should be deported if they did what kavanaugh i… ,1,Sial mengambilnya setuju alien ilegal dideportasi kavanaugh saya…
1578,it's always the liberals that threaten that ism a spic and will be deported for supporting trump,1,Selalu orang -orang Liberal mengancam spic dideportasi mendukung Trump
1579,lewis and being a faggot,0,Lewis homo
1580,the cunt came out of nowhere,0,Vagina muncul
1581,wouldn't be surprised to find out its a and party they make movies with this kind of plot some ahead place,1,terkejut a pesta film plot
1582,['african migrants crossing the mediterranean now head to spain after italy ’ entropy encirclement via'],0,Migran Afrika melintasi Mediterania Spanyol Italia pengepungan entropi
1583,the immigrants edge,0,tepi imigran
1584,also answered your retard question u just did like it cops it hurts your little wig,1,Juga retard Anda Anda lakukan polisi menyakiti wig Anda
1585,did even notice until a friend pointed out it said spic,1,menyadarinya teman spic
1586,ces migrants qui veulent s’investir pour l’europe ,0,Para migran berinvestasi Eropa
1587,gay retard,0,Retard gay
